houses
City;locality;Type of property;Price;Bed rooms;Living Area;Fully equipped kitchen;Furnished;Terrace;Garden; Surface Area of the plot;Number of facade;Swimming pool;State of the building
keerbergen;;house;419,00 €;3;162 m²;Installed;;0;0;1267  m²  square meters;4;;
charleroi%20montignies-sur-sambre;;house;170,00 €;3;99 m²;Not installed;;0;167  m²  square meters;96  m²  square meters;2;;Good
liege;;house;195,00 €;2;139 m²;;No;15  m²  square meters;0;108  m²  square meters;3;;To be done up
hamme;;house;an starting;4;214 m²;USA hyper equipped;No;0;98  m²  square meters;191  m²  square meters;2;;To renovate
vilvoorde%20peutie;;house;455,00 €;3;149 m²;;;18  m²  square meters;0;286  m²  square meters;3;;
bruxelles;;apartment;1,390,000 €;6;286 m²;;No;30  m²  square meters;0;;4;No;To renovate
dinant;;mixed-use-building;500,00 €;8;401 m²;;;0;0;1123  m²  square meters;3;;Good
anderlecht;;exceptional-property;1,590,000 €;4;450 m²;;No;0;1500  m²  square meters;1761  m²  square meters;4;;
uccle;;villa;1,450,000 €;5;314 m²;;Yes;40  m²  square meters;450  m²  square meters;649  m²  square meters;4;;
rhode-saint-genese;;villa;3,800,000 €;5;620 m²;;No;40  m²  square meters;2100  m²  square meters;2500  m²  square meters;4;;As new
waterloo;;house;an starting;3;130 m²;Installed;No;0;0;150  m²  square meters;3;No;As new
ixelles;;exceptional-property;2,750,000 €;5;595 m²;Hyper equipped;No;0;164  m²  square meters;289  m²  square meters;2;No;As new
huy;;apartment-block;495,00 €;6;;Semi equipped;No;66  m²  square meters;490  m²  square meters;572  m²  square meters;2;;Good
deinze;;house;374,00 €;3;115 m²;Hyper equipped;No;10  m²  square meters;360  m²  square meters;589  m²  square meters;4;;To be done up
affligem;;house;465,00 €;3;170 m²;Hyper equipped;No;0;0;435  m²  square meters;3;No;As new
heusden;;house;515,00 €;5;235 m²;Hyper equipped;No;25  m²  square meters;50  m²  square meters;230  m²  square meters;3;;As new
bornem;;service-flat;177,00 €;1;63 m²;USA installed;No;6  m²  square meters;0;;4;;As new
jupille;;house;299,00 €;4;;;;0;0;625  m²  square meters;4;;
donceel;Waremme et 5 kms;duplex;195,00 €;3;190 m²;Semi equipped;No;0;0;;3;No;Good
herstal;Liège environs;apartment-block;an starting;4;231 m²;Semi equipped;No;54  m²  square meters;140  m²  square meters;251  m²  square meters;3;No;To be done up
huy;;penthouse;an starting;2;96 m²;Semi equipped;;0;0;;2;;Good
sint-genesius-rode;;loft;an starting;3;345 m²;Installed;;0;0;;3;;To renovate
ottignies;;penthouse;240,00 €;1;85 m²;USA installed;;0;0;;2;;Good
spa;Liège environs;apartment-block;an starting;8;229 m²;Not installed;No;0;0;94  m²  square meters;3;;To renovate
sint-jans-molenbeek;;duplex;265,00 €;2;106 m²;Installed;No;0;0;;4;No;Good
